AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
2.3999634,46.38707733,21.29892159,228.2803846,3.15251541,-0.9414,45.09804153,82,148,2033,25.53000069,34,0.5703,18.81025314,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.9000244,48.86405945,22.06375709,236.0667978,2.47698212,-0.8164,40.39215851,82,143,2119,22.98999977,33,0.5195,18.70751762,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.0999756,51.11585999,22.86741674,244.8072395,2.25180054,-0.8125,36.86274719,82,136,2180,19.79999924,33,0.4883,18.51562309,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.8000488,51.34103775,23.67495877,252.4509962,0.22517776,-0.8672,35.68627548,83,129,2231,20.73999977,32,0.4883,18.34048843,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.3000488,52.46693802,24.50191287,259.850533,1.12590027,-0.8476,34.50980377,83,128,2260,19.85000038,32,0.4883,18.1403141,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.3000488,51.79140091,25.31721978,265.2229816,-0.67553711,-0.8125,33.72549057,83,127,2302,20.57999992,32,0.457,17.97272491,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.7000122,52.46693802,26.14417389,269.8587177,0.67553711,-0.7656,20.3921566,83,127,2338,19.70000076,32,0.3984,17.78150368,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.0,52.46693802,26.97112799,273.1027528,0.0,-0.7344,23.52941132,83,121,2359,17.45999908,31,0.3711,17.52285385,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.0,54.04319763,27.82525898,276.3622939,1.57625961,-0.6679,5.09803915,83,117,2355,18.13999939,31,0.3867,17.3032589,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5999756,53.59283829,28.67162515,277.7398536,-0.45035934,-0.7109,20.7843132,83,113,2295,24.03000069,32,0.3594,17.23678207,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.2999878,52.24176025,29.49469688,276.5497817,-1.35107804,-0.6875,35.68627548,82,114,2258,19.62999916,31,0.3633,17.10317421,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.7999878,53.14247894,30.33329824,274.6879229,0.90071869,-0.7929,41.96078491,82,121,2295,22.54999924,31,0.4336,17.02685356,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.0,54.04319763,31.18742923,272.1032338,0.90071869,-0.8789,63.13725662,82,131,2323,27.53000069,31,0.4492,17.01807594,SmoothCondition,LowCongestionCondition,EvenPaceStyle
