AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-0.599998474,24.29999924,8.72068933,46.84377225,6.299999237,-1.2903,67.05882263,26,115,1809.0,22.36000061,15,0.1468,28.78459167,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.099998474,27.89999962,9.045762385,52.270798,3.600000381,-1.4038,0.0,26,107,947.5,23.12999916,17,0.2022,28.72807312,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.200000763,30.59999847,9.404999653,59.12793716,2.699998856,-1.3209,28.23529434,26,103,797.0,10.13000011,17,0.1834,27.79902077,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.899997711,29.69999886,9.899999634,64.36067403,-0.899999619,-1.4974,0.0,26,101,1112.0,6.050000191,15,0.2099,26.15026093,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.900001526,28.79999924,10.37999962,68.51958917,-0.899999619,-1.3275,71.76470947,26,102,1150.0,11.73999977,15,0.2898,25.72126579,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.400001526,27.89999962,10.84499962,71.67607236,-0.899999619,-1.518,66.66666412,26,102,1150.0,14.05000019,14,0.2122,25.44197655,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.200000763,28.79999924,11.3249996,74.91241126,0.899999619,-1.5972,65.88235474,27,102,1218.5,14.57999992,14,0.1779,25.15500259,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.200000763,30.59999847,11.83499958,78.77112257,1.799999237,-1.6831,61.96078491,27,102,1288.0,14.55000019,14,0.2392,24.85887527,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.700000763,32.39999771,12.37499954,83.2686808,1.799999237,-1.8255,57.64706039,27,102,1333.0,14.90999985,14,0.2365,24.57504845,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.5,33.29999924,12.92999953,87.781113,0.900001526,-1.7848,40.7843132,27,102,1368.5,14.85999966,14,0.3247,24.28318214,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.5,34.20000076,13.49999954,92.28508018,0.900001526,-1.8743,0.0,27,102,1379.0,17.04999924,14,0.3604,24.09908295,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.200000763,33.29999924,14.05499953,95.52759716,-0.900001526,-1.9473,0.0,27,102,1302.0,16.57999992,14,0.3416,23.92586327,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
